graduation_name,country
Gestão de Seguros,Brazil
Análise e Desenvolvimento de Sistemas,Brazil
Transporte,Brazil
Design de Jogos Digitais,Brazil
Gestão de Segurança Privada,Brazil
Filosofia,Brazil
Gestão da Informação,Brazil
Administração,Brazil
Gestão Comercial,Brazil
Produção Sucroalcooleira,Brazil
Ciências Atuariais,Brazil
Publicidade e Propaganda,Brazil
Engenharia Aeronáutica,Brazil
Conservação e Restauro,Brazil
Materiais,Brazil
Direito,Brazil
Comércio Exterior,Brazil
Horticultura,Brazil
Informática,Brazil
Produção Têxtil,Brazil
Fotografia,Brazil
Produção de Laticínios,Brazil
Dança,Brazil
Design de Moda,Brazil
Medicina Veterinária,Brazil
Engenharia Agrícola,Brazil
Engenharia Cartográfica,Brazil
de Agrimensura,Brazil
Cooperativismo,Brazil
Construção Civil,Brazil
Oftálmica,Brazil
Automação Industrial,Brazil
Engenharia de Minas,Brazil
Escrita Criativa,Brazil
Audiovisual,Brazil
Física,Brazil
Eletrônica Industrial,Brazil
Nutrição,Brazil
Produção Cultural,Brazil
Ciências Sociais,Brazil
Gestão Financeira,Brazil
Redes de Computadores,Brazil
Engenharia Hídrica,Brazil
Museologia,Brazil
Pilotagem Profissional de Aeronaves,Brazil
Cafeicultura,Brazil
Petróleo e Gás,Brazil
Engenharia Bioquímica e de Biotecnologia,Brazil
Gerontologia,Brazil
Cinema,Brazil
Engenharia de Alimentos,Brazil
Secretariado Executivo,Brazil
Gestão em Saúde,Brazil
Arquivologia,Brazil
Sistemas de Telecomunicações,Brazil
História,Brazil
Biotecnologia e Bioquímica,Brazil
Saúde,Brazil
Saneamento Ambiental,Brazil
Engenharia Florestal,Brazil
Engenharia de Telecomunicações,Brazil
Gestão de Cooperativas,Brazil
Artes Visuais,Brazil
Teatro,Brazil
Estudos de Mídia,Brazil
Engenharia de Controle e Automação,Brazil
Psicologia,Brazil
Processos Gerenciais,Brazil
Secretariado,Brazil
Gestão Ambiental,Brazil
Gestão da Tecnologia da Informação,Brazil
Informática Biomédica,Brazil
Drenagem e Irrigação,Brazil
Design de Interiores,Brazil
Pedagogia,Brazil
Teologia,Brazil
Agronegócios,Brazil
Gestão de Segurança Privada,Brazil
Gestão de Recursos Humanos,Brazil
Ciência da Terra,Brazil
Letras,Brazil
Enfermagem,Brazil
"Cultura, Linguagens e Tecnologias Aplicadas",Brazil
Silvicultura,Brazil
Biotecnologia,Brazil
Engenharia Química,Brazil
Ciências Agrárias,Brazil
Sistemas Embarcados,Brazil
Engenharia de Materiais,Brazil
História,Brazil
Engenharia Civil,Brazil
Produção Publicitária,Brazil
Geofísica,Brazil
Jogos Digitais,Brazil
Serviços Judiciários e Notariais,Brazil
Processos Químicos,Brazil
Eventos,Brazil
Mecatrônica Industrial,Brazil
Linguagens e Códigos e suas Tecnologias,Brazil
Construção Naval,Brazil
Logística,Brazil
Psicopedagogia,Brazil
Oftálmica,Brazil
Silvicultura,Brazil
Artes,Brazil
Gestão de Turismo,Brazil
Cosmetologia,Brazil
Engenharia Metalúrgica,Brazil
Processos Escolares,Brazil
Transporte Aéreo,Brazil
Libras,Brazil
Quiropraxia,Brazil
Redes de Telecomunicações,Brazil
Química,Brazil
Biossistemas,Brazil
Produção Audiovisual,Brazil
Processamento de Dados,Brazil
Gestão da Qualidade,Brazil
Geografia,Brazil
Letras,Brazil
Gestão Comercial,Brazil
